Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
1,0.113340005279,0.054299969226,0,0
2,0.386809945107,0.056859966367,3,0
3,0.126039996743,0.055339977145,0,0
4,0.121759966016,0.056079968810,1,0
5,0.185580000281,0.056959964335,6,0
6,0.174290001392,0.058659974486,4,0
7,0.186540022492,0.057259969413,6,0
8,0.136740013957,0.058559980243,1,0
9,0.209359988570,0.059049986303,8,0
10,0.184209987521,0.058419976383,6,0
11,148.150360107422,0.143930017948,13,0
12,0.256260037422,0.084569983184,8,0
13,0.333120048046,0.085199989378,10,0
14,0.215319976211,0.072269998491,6,0
15,0.258919984102,0.065269976854,10,0
16,0.275299996138,0.067099981010,10,0
17,0.183800026774,0.064599968493,5,0
18,0.222860068083,0.062779977918,7,0
19,0.262349963188,0.062709972262,11,0
20,0.293870002031,0.065670005977,13,0
21,0.296689987183,0.064919985831,12,0
22,0.309760004282,0.063699983060,15,0
23,0.374669939280,0.065830014646,18,0
24,0.339720010757,0.064840011299,17,0
25,0.445290058851,0.064309976995,26,0
26,0.318529963493,0.064989998937,14,0
27,0.360609948635,0.064799994230,19,0
28,0.322299957275,0.063100002706,16,0
29,0.405290037394,0.064469978213,21,0
30,0.294419974089,0.062439993024,14,0
31,0.405660003424,0.071490004659,21,0
32,0.347200036049,0.064850002527,18,0
33,0.357699960470,0.065049976110,17,0
34,0.304320007563,0.065569996834,13,0
35,0.323389977217,0.064869992435,16,0
36,0.430149942636,0.063719980419,23,0
37,0.323410034180,0.064829997718,16,0
38,0.281959950924,0.063319988549,13,0
39,0.449209868908,0.064890004694,24,0
40,0.325090050697,0.064299993217,16,0
41,0.474639952183,0.065830014646,26,0
42,0.345059961081,0.063769981265,18,0
43,0.330640017986,0.064629994333,17,0
44,0.421819865704,0.066789999604,22,0
45,0.373940020800,0.064339973032,19,0
46,0.401239931583,0.068300001323,20,0
47,0.273610025644,0.068200007081,12,0
48,0.336120009422,0.067780010402,17,0
49,0.393469989300,0.069850012660,20,0
50,0.382139921188,0.070670008659,20,0
51,0.394630014896,0.066270031035,20,0
52,0.667000055313,0.071270018816,28,0
53,0.332670032978,0.073170013726,16,0
54,0.369299918413,0.073190033436,18,0
55,0.382539987564,0.076110027730,20,0
56,0.348730117083,0.075540006161,18,0
57,0.527920126915,0.075160034001,29,0
58,0.469199985266,0.069890014827,26,0
59,0.359669923782,0.072560012341,17,0
60,0.342679917812,0.072859995067,17,0
61,0.357389986515,0.072600014508,18,0
62,0.510280013084,0.083370022476,29,0
63,0.366689920425,0.071020014584,19,0
64,0.510819971561,0.071029998362,29,0
65,0.374480068684,0.077580019832,20,0
66,0.391920030117,0.074090018868,21,0
67,0.418759942055,0.071189999580,22,0
68,0.379000067711,0.076340034604,20,0
69,0.352370053530,0.069770023227,19,0
70,0.325450032949,0.070620022714,15,0
71,0.376130074263,0.078229993582,19,0
72,0.416310071945,0.076120011508,21,0
73,0.447740077972,0.079810038209,24,0
74,0.388409852982,0.076000019908,21,0
75,0.469759941101,0.083070024848,22,0
76,0.308990001678,0.083950027823,14,0
77,0.399409949780,0.080500029027,20,0
78,0.323620080948,0.075030021369,15,0
79,0.415330141783,0.075580038130,23,0
80,0.456020027399,0.077340044081,25,0
81,0.452499955893,0.076710000634,26,0
82,0.431549906731,0.079320020974,23,0
83,0.384009957314,0.072650030255,21,0
84,0.421000003815,0.074920028448,24,0
85,0.389809995890,0.075310051441,20,0
86,0.356700032949,0.073730014265,19,0
87,0.409090042114,0.072020024061,21,0
88,0.381889879704,0.075210034847,20,0
89,0.317399978638,0.073060043156,15,0
90,0.402710050344,0.074320018291,20,0
91,0.455270081758,0.078350022435,26,0
92,0.415730029345,0.078400015831,23,0
93,0.501950085163,0.083480015397,27,0
94,0.793340086937,0.093160003424,21,0
95,0.391220062971,0.078600034118,21,0
96,0.292610019445,0.081360012293,13,0
97,0.507000029087,0.078000038862,29,0
98,0.367289960384,0.075330041349,19,0
99,0.333589941263,0.082460023463,15,0
100,0.410720050335,0.076500028372,23,0
101,0.458680033684,0.074440054595,27,0
102,0.452820003033,0.074830017984,25,0
103,0.303479969501,0.073270022869,14,0
104,0.444480061531,0.075760036707,24,0
105,0.421419978142,0.074960038066,24,0
106,0.457879900932,0.079070031643,27,0
107,0.328109979630,0.076270058751,15,0
108,0.341859966516,0.075200043619,17,0
109,0.293319940567,0.078470028937,11,0
110,0.360560089350,0.076130025089,19,0
