Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
1,0.076200023293,0.059779956937,0,0
2,0.069850020111,0.059229966253,3,0
3,0.068100020289,0.058929961175,0,0
4,0.065490007401,0.058859959245,1,0
5,0.067499995232,0.059379957616,6,0
6,0.065960012376,0.059569966048,5,0
7,0.065509997308,0.059459954500,6,0
8,0.064640007913,0.059289954603,2,0
9,0.065809994936,0.059889949858,8,0
10,0.064750015736,0.060269966722,6,0
11,0.069810003042,0.060979943722,16,0
12,0.065930001438,0.060539968312,11,0
13,0.066649988294,0.061709962785,14,1
14,0.065649986267,0.060789957643,10,0
15,0.066540002823,0.061139948666,12,2
16,0.066670000553,0.061489969492,12,0
17,0.067130006850,0.061359960586,9,0
18,0.095179952681,0.061949960887,10,1
19,0.069390028715,0.061279941350,17,0
20,0.069800011814,0.061749957502,20,2
21,0.071220010519,0.061169955879,19,0
22,0.069349989295,0.061099953949,20,0
23,0.070590004325,0.062309958041,26,3
24,0.070780001581,0.061439950019,28,0
25,0.071480013430,0.061709970236,31,1
26,0.069630004466,0.062799952924,25,2
27,0.071809992194,0.062179949135,30,2
28,0.071060016751,0.062129963189,30,0
29,0.070809997618,0.063119962811,31,1
30,0.068760015070,0.061819951981,19,1
31,0.072490014136,0.063800022006,34,3
32,0.069960013032,0.062789961696,26,1
33,0.070920012891,0.063080005348,28,1
34,0.068619996309,0.063459984958,21,1
35,0.072280004621,0.062779970467,33,3
36,0.072270013392,0.063439987600,34,2
37,0.070320010185,0.061999969184,22,0
38,0.071370013058,0.062629967928,29,0
39,0.079060032964,0.063299946487,57,2
40,0.072350025177,0.063399955630,33,3
41,0.077160008252,0.064750000834,47,1
42,0.071500003338,0.065429948270,34,4
43,0.071849994361,0.063869930804,32,1
44,0.075199998915,0.064439952374,45,6
45,0.077190026641,0.063029944897,50,2
46,0.075060017407,0.063119962811,37,3
47,0.071150019765,0.062089961022,29,2
48,0.074120037258,0.063929952681,37,3
49,0.074360013008,0.062949948013,37,1
50,0.072650030255,0.063769958913,31,1
51,0.073830023408,0.063889957964,35,2
52,0.076559990644,0.067209973931,50,3
53,0.071850024164,0.062539964914,31,1
54,0.071559995413,0.066529974341,28,3
55,0.073450013995,0.067309953272,40,5
56,0.070800013840,0.066419959068,32,3
57,0.076780028641,0.068269938231,50,0
58,0.076750010252,0.067069962621,45,5
59,0.075490020216,0.068529948592,44,4
60,0.075480014086,0.064189940691,35,0
61,0.076000027359,0.067079968750,37,1
62,0.079039998353,0.072729997337,52,3
63,0.075120002031,0.069159947336,47,3
64,0.078060016036,0.067489974201,54,4
65,0.078180022538,0.067099973559,43,10
66,0.073540009558,0.065379977226,35,1
67,0.075010024011,0.066559970379,41,2
68,0.076300017536,0.073079958558,45,11
69,0.073199994862,0.064539961517,38,2
70,0.072170011699,0.064950004220,36,3
71,0.074559986591,0.067180022597,38,1
72,0.073649995029,0.066789977252,33,2
73,0.077700018883,0.066029958427,51,5
74,0.073700018227,0.066999994218,37,3
75,0.075620017946,0.067079998553,48,7
76,0.070270001888,0.066939949989,20,3
77,0.075060024858,0.066459938884,36,2
78,0.072220042348,0.065579995513,30,6
79,0.075830012560,0.066569969058,48,4
80,0.079949982464,0.063579954207,53,2
81,0.075280040503,0.064079947770,42,1
82,0.077110022306,0.067799933255,50,9
83,0.073990039527,0.067119956017,37,6
84,0.077790029347,0.067589960992,51,15
85,0.072710037231,0.065989963710,32,4
86,0.072419986129,0.067969977856,36,4
87,0.078080013394,0.065449975431,52,3
88,0.080490022898,0.067519940436,46,2
89,0.075960002840,0.064789958298,38,6
90,0.073470003903,0.066929988563,38,2
91,0.077720046043,0.066499978304,55,1
92,0.075470030308,0.066559985280,47,4
93,0.078410014510,0.068269982934,53,16
94,0.072820015252,0.072309963405,34,6
95,0.074960000813,0.066939972341,45,2
96,0.071290023625,0.066409967840,21,12
97,0.074609972537,0.065269976854,45,5
98,0.075420022011,0.068380028009,44,4
99,0.070560023189,0.066409967840,24,5
100,0.077090032399,0.065789975226,49,6
101,0.076730020344,0.064679957926,45,2
102,0.075970023870,0.069600023329,53,12
103,0.073419995606,0.070189952850,35,2
104,0.075869992375,0.068779990077,46,3
105,0.076540015638,0.067279979587,51,2
106,0.076630018651,0.066899955273,48,2
107,0.071909986436,0.068850018084,25,6
108,0.076860003173,0.068589992821,39,2
109,0.071010030806,0.066229961812,21,4
110,0.076310023665,0.068809986115,43,12
111,0.073570020497,0.070039950311,38,9
112,0.073890037835,0.068589992821,38,10
113,0.080779999495,0.068349994719,51,7
114,0.075499966741,0.069529980421,39,5
115,0.075930014253,0.069610014558,36,2
116,0.078310005367,0.069490008056,54,14
117,0.075619995594,0.069049976766,40,6
118,0.075590014458,0.067649960518,41,2
119,0.076940014958,0.073940016329,52,2
120,0.074400037527,0.070919975638,28,8
121,0.070669963956,0.066689990461,22,2
122,0.076110020280,0.069119982421,44,4
123,0.078490011394,0.068849980831,44,7
124,0.075240038335,0.068980008364,35,3
125,0.074640028179,0.068129979074,35,5
126,0.071410022676,0.070469982922,31,4
127,0.077090024948,0.069310024381,52,2
128,0.076209992170,0.069829970598,47,7
129,0.075029984117,0.070269986987,40,7
130,0.075290046632,0.069230005145,41,3
131,0.080710031092,0.069229990244,60,7
132,0.080719999969,0.069439984858,38,4
133,0.075150012970,0.069110028446,39,5
134,0.074360005558,0.069859988987,32,9
135,0.075290039182,0.068049967289,40,2
136,0.083270005882,0.070689991117,40,7
137,0.074600011110,0.068809993565,44,1
138,0.079469993711,0.075339995325,60,7
139,0.074270032346,0.069340012968,43,1
140,0.075940035284,0.072149999440,39,7
141,0.073149986565,0.069239996374,27,3
142,0.071569971740,0.069279991090,29,3
143,0.072670020163,0.068250015378,24,7
144,0.076180003583,0.074910029769,46,2
145,0.075990006328,0.067449986935,43,3
146,0.075199991465,0.069129996002,35,5
147,0.071680016816,0.071479976177,28,2
148,0.076070018113,0.071009971201,35,5
149,0.074569992721,0.070319987833,36,4
150,0.072090044618,0.070519983768,29,10
151,0.078350044787,0.072499983013,58,11
152,0.082380004227,0.068599991500,63,1
153,0.072690010071,0.070069991052,27,6
154,0.077890045941,0.069889985025,42,5
155,0.080009996891,0.070259980857,41,5
156,0.072810024023,0.071689978242,35,7
157,0.075320005417,0.072879999876,47,4
158,0.076950006187,0.073889970779,37,3
159,0.076980024576,0.076070003211,48,11
160,0.074550017715,0.075720004737,30,10
161,0.081350006163,0.076750017703,61,3
162,0.074010007083,0.074020013213,37,5
163,0.077030003071,0.073489993811,43,5
164,0.078050009906,0.070609964430,47,1
165,0.076209999621,0.072020001709,45,1
166,0.082399994135,0.072660028934,69,5
167,0.078770011663,0.074789993465,51,5
168,0.080280005932,0.069569997489,60,2
169,0.076870001853,0.069379977882,43,4
170,0.077880002558,0.069390028715,48,4
171,0.074750013649,0.071820020676,39,9
172,0.079010024667,0.072789996862,58,4
173,0.073610000312,0.071300007403,36,5
174,0.076950013638,0.078550003469,52,4
175,0.079959981143,0.078979976475,53,0
176,0.083640016615,0.079070016742,78,9
177,0.082840025425,0.076779991388,69,4
178,0.080960027874,0.070039987564,62,4
179,0.081279970706,0.075980000198,62,6
180,0.080030016601,0.080750003457,65,3
181,0.078790009022,0.075139984488,49,7
182,0.079039990902,0.081679962575,58,6
183,0.081440016627,0.072779968381,67,10
184,0.086500033736,0.074770018458,72,4
185,0.082990005612,0.072110012174,64,5
186,0.087770015001,0.075749985874,89,11
187,0.084580026567,0.073980011046,71,9
188,0.083480015397,0.071210004389,73,7
189,0.082739979029,0.070680014789,73,3
190,0.082839995623,0.070189990103,78,1
191,0.088239982724,0.073719978333,98,8
192,0.086729995906,0.073039993644,85,5
193,0.094480022788,0.075320005417,120,7
194,0.086439989507,0.078500017524,98,24
195,0.083519972861,0.075550012290,67,6
196,0.089690007269,0.082250021398,110,8
197,0.090270012617,0.074009977281,107,6
198,0.091459989548,0.072950005531,122,8
199,0.090280011296,0.074560001493,103,17
200,0.090370014310,0.071349985898,110,10
201,0.095099993050,0.073540009558,135,5
202,0.093819975853,0.075260020792,136,9
203,0.089630022645,0.073350019753,114,9
204,0.091580003500,0.073560014367,108,5
205,0.094249993563,0.074230022728,138,6
206,0.097660005093,0.077450029552,170,19
207,0.091510005295,0.074760004878,132,4
208,0.100980006158,0.071989990771,167,7
209,0.098769977689,0.075530014932,161,14
210,0.098020002246,0.077400006354,169,18
211,0.098980017006,0.072449982166,177,9
212,0.099670000374,0.076470017433,188,9
213,0.100980006158,0.077019996941,182,16
214,0.098699994385,0.073240011930,174,12
215,0.103290013969,0.077810034156,201,20
216,0.105479978025,0.076830029488,215,33
217,0.104049988091,0.077009990811,240,12
218,0.106380015612,0.071180000901,261,13
219,0.100960008800,0.073610007763,215,18
220,0.104839988053,0.075799994171,227,15
221,0.100400008261,0.075560010970,211,14
222,0.108199998736,0.082650005817,239,31
223,0.103379987180,0.078360013664,215,21
224,0.105129994452,0.075270034373,240,27
225,0.104709982872,0.077919989824,244,32
226,0.107759982347,0.070759989321,263,8
227,0.109210036695,0.076100014150,263,27
228,0.114169985056,0.075920008123,337,25
229,0.117109969258,0.076590001583,344,50
230,0.126460015774,0.075859993696,419,46
231,0.122680023313,0.074490003288,386,31
232,0.120949976146,0.073829978704,382,23
233,0.111499980092,0.075079984963,280,20
234,0.118150025606,0.073869995773,355,15
235,0.118999987841,0.080279991031,364,34
236,0.142459988594,0.137849986553,379,27
237,0.158110007644,0.170790031552,403,28
238,0.155120015144,0.126900002360,450,32
239,0.128159970045,0.375379949808,350,60
240,0.289979994297,0.109109997749,378,54
241,0.122299976647,0.091190025210,374,13
242,0.122429996729,0.092449977994,405,45
243,0.129560008645,0.086470007896,468,67
244,0.132249996066,0.080330014229,482,43
245,0.124949976802,0.080820016563,433,20
246,0.124109990895,0.081629998982,408,41
247,0.131349995732,0.080370008945,485,33
248,0.138660013676,0.081140011549,544,37
249,0.141579955816,0.077380001545,572,41
250,0.147489964962,0.083680011332,616,52
251,0.127160012722,0.080210000277,454,35
252,0.124759994447,0.082810014486,437,45
253,0.123850017786,0.075529992580,419,34
254,0.131930008531,0.078119993210,476,39
255,0.131889998913,0.077789992094,488,62
256,0.141609966755,0.079740002751,584,52
257,0.131420016289,0.077649988234,473,56
258,0.148220002651,0.077610000968,636,68
259,0.147499978542,0.075809992850,635,54
260,0.150680005550,0.083980008960,653,83
261,0.151240020990,0.078449964523,670,58
262,0.136339992285,0.079019993544,533,89
263,0.159850001335,0.076070018113,742,57
264,0.159709990025,0.076459996402,739,37
265,0.143439993262,0.077519990504,597,61
266,0.136160016060,0.079229980707,524,64
267,0.141719952226,0.126589983702,566,61
268,0.148379981518,0.190250039101,550,74
269,0.158009961247,0.095740005374,643,67
270,0.165629968047,0.088990002871,784,48
271,0.147799983621,0.091269984841,612,84
272,0.148829996586,0.092140018940,643,125
273,0.147469997406,0.086910009384,621,90
274,0.171130016446,0.113170012832,769,132
275,0.145110011101,0.093040011823,589,74
276,0.150399968028,0.087750032544,641,82
277,0.155389964581,0.095110014081,665,119
278,0.150700002909,0.091850005090,652,107
279,0.138859972358,0.082479998469,523,33
280,0.314679980278,0.121300004423,690,120
281,0.139939978719,0.104619994760,526,91
282,0.150349989533,0.101750008762,646,112
283,0.167389959097,0.101209960878,788,58
284,0.139429986477,0.095480017364,554,82
285,0.143989995122,0.100250005722,569,110
286,0.148699998856,0.095259979367,630,95
287,0.149220019579,0.086289994419,623,106
288,0.147169962525,0.090389996767,621,57
289,0.137419968843,0.089229963720,516,56
290,0.153370022774,0.085620023310,670,59
291,0.139169991016,0.090009965003,548,107
292,0.154469981790,0.092950008810,677,130
293,0.145480006933,0.091040000319,604,74
294,0.156580016017,0.096689976752,702,200
295,0.160439953208,0.085379995406,714,98
296,0.169130012393,0.094219982624,797,127
297,0.143909990788,0.086170002818,572,87
298,0.142049998045,0.089690007269,571,171
299,0.145320028067,0.089259989560,592,174
300,0.152290001512,0.093549981713,655,87
301,0.140009999275,0.084080033004,546,65
302,0.145989984274,0.089229978621,597,121
303,0.164159983397,0.084700003266,763,60
304,0.143880009651,0.110050015152,576,99
305,0.140749961138,0.088100016117,542,123
306,0.169410020113,0.085950009525,810,103
307,0.161169990897,0.086340017617,732,85
308,0.146669983864,0.089019998908,593,138
309,0.146629989147,0.095700047910,613,139
310,0.140680000186,0.088329985738,538,175
311,0.161369994283,0.084709972143,728,117
312,0.153159990907,0.086940020323,667,129
313,0.144599989057,0.092210009694,603,123
314,0.167870000005,0.086689978838,793,129
315,0.161399975419,0.085540018976,728,146
316,0.149069964886,0.082369975746,626,94
317,0.136839956045,0.085529983044,536,149
318,0.143689990044,0.091749995947,585,98
319,0.155419990420,0.084559999406,705,87
320,0.163860023022,0.081409983337,756,90
321,0.150239989161,0.083370015025,651,111
322,0.158109992743,0.081789970398,723,101
323,0.147719979286,0.085829988122,625,150
324,0.146629974246,0.081739991903,614,135
325,0.164700016379,0.084419980645,780,162
326,0.156749963760,0.076309986413,727,87
327,0.155389979482,0.080739967525,751,158
328,0.160769999027,0.082650005817,785,150
329,0.152360036969,0.081909999251,724,168
330,0.142920002341,0.078509964049,629,152
